epoch,total,cell,neighborhood,cell_recon,niche_recon,cell_vq,niche_vq,cell_perplexity,neighborhood_perplexity,cell_active_codes,neighborhood_active_codes,cell_usage_gini,neighborhood_usage_gini,cell_usage_entropy_norm,neighborhood_usage_entropy_norm,learning_rate,grad_norm,val_total,epoch_seconds,cells_per_second
1,4.146391153335571,2.1323353052139282,2.014055848121643,1.0575807988643646,1.0436427593231201,1.0747544318437576,0.9704131484031677,18.591414213180542,6.3545496463775635,64.0,16.0,0.7646704051635991,0.6900083077709611,0.7040793041585748,0.6775845772345499,0.0003,3.5095949172973633,,0.407,19243.9
2,3.5452659726142883,1.8397458493709564,1.705520123243332,1.007936269044876,0.9684354513883591,0.8318095654249191,0.7370847016572952,26.745514392852783,7.892283916473389,58.0,13.0,0.677926092791411,0.5747220092024541,0.7944669103594962,0.7479220142334079,0.0003,2.0575629472732544,,0.076,103053.46
3,3.1787718534469604,1.6545517146587372,1.5242201089859009,0.958175390958786,0.9092882722616196,0.69637630879879,0.6149318367242813,31.323460578918457,8.917956352233887,57.0,14.0,0.5936781058282208,0.5304032464212678,0.8321051295601364,0.7919396886107407,0.0003,1.5234520137310028,,0.074,105882.93
4,2.9439539313316345,1.5549480617046356,1.3890058994293213,0.9125391691923141,0.868725523352623,0.6424089074134827,0.5202803611755371,33.08016490936279,9.811788558959961,55.0,14.0,0.5664541794478528,0.46069785276073616,0.8442355866596634,0.8251253005050456,0.0003,1.3528836965560913,,0.072,108038.03
5,2.784391760826111,1.464046984910965,1.3203447759151459,0.8752136677503586,0.8371992409229279,0.5888333320617676,0.4831455126404762,34.639801025390625,10.201937198638916,57.0,15.0,0.5512725268404908,0.4286170756646217,0.855633335160341,0.8385249269748668,0.0003,1.281544804573059,,0.072,107986.3
6,2.624214768409729,1.379112958908081,1.245101809501648,0.8422970026731491,0.8125190883874893,0.5368159860372543,0.4325827360153198,36.36528301239014,10.749189376831055,56.0,14.0,0.531984918200409,0.39166347137014323,0.8673045070189775,0.858116517641458,0.0003,1.258716881275177,,0.071,109630.19
7,2.4808138608932495,1.2730526626110077,1.2077611982822418,0.8136290460824966,0.7920546233654022,0.45942360162734985,0.415706567466259,40.0814151763916,10.905791521072388,58.0,15.0,0.48657975460122693,0.36697980572597144,0.8900871272296548,0.8637811502582693,0.0003,1.061545267701149,,0.072,108899.85
8,2.3775582909584045,1.1945834755897522,1.1829748451709747,0.7874766290187836,0.7743338644504547,0.4071068540215492,0.4086410030722618,42.70688343048096,10.981292724609375,58.0,15.0,0.4307099948875255,0.36453540388548067,0.9056882112919741,0.8649608960219702,0.0003,1.055224746465683,,0.076,102390.39
9,2.2898163199424744,1.1338886320590973,1.1559277176856995,0.765068918466568,0.7595126330852509,0.3688197657465935,0.3964150995016098,44.7139368057251,11.127620697021484,62.0,15.0,0.40339819785276076,0.3494695807770962,0.9164170126559542,0.8696557781743349,0.0003,0.9658798277378082,,0.072,108595.47
10,2.2002492547035217,1.0742670595645905,1.1259822249412537,0.7448630332946777,0.7470894753932953,0.32940400391817093,0.37889275699853897,46.83086967468262,11.310608625411987,60.0,15.0,0.37278326303680975,0.3474884969325154,0.9272304334885791,0.8756206743012226,0.0003,1.1307591944932938,,0.073,107847.17
